Departure_Tm_Mnts,O_MSP,O_ATL,O_LAX,D_Sunday,D_Tuesday,D_Wednesady,D_Thursday,D_Friday,D_Saturday,O_Visibility,D_Visibility,Schd_Blk_Tm_Mnt_Ct,Domestic,International,D_June,D_July
0,1,0,0,1,0,0,0,0,0,10,10,165,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,129,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,148,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,138,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,82,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,88,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,129,1,0,1,0
0,0,0,1,1,0,0,0,0,0,10,10,267,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,109,1,0,1,0
1,0,1,0,0,1,0,0,0,0,10,10,192,1,0,1,0
0,1,0,0,0,0,0,0,1,0,10,10,149,1,0,0,1
4,0,1,0,0,0,0,0,1,0,10,10,273,1,0,0,1
-1,1,0,0,1,0,0,0,0,0,10,10,148,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,64,1,0,0,1
1,0,1,0,0,0,0,1,0,0,7,10,86,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,97,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,67,1,0,0,1
4,0,1,0,0,0,0,0,1,0,10,10,132,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,244,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,139,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,98,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,85,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,138,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,276,1,0,0,1
0,0,0,1,0,0,0,0,0,1,10,10,121,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,80,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,75,1,0,0,1
2,0,1,0,0,0,0,1,0,0,7,10,278,1,0,1,0
3,0,1,0,0,0,1,0,0,0,9,10,134,1,0,1,0
0,1,0,0,0,0,0,1,0,0,10,10,70,1,0,1,0
4,0,1,0,0,0,1,0,0,0,9,10,56,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,54,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,202,1,0,0,1
2,0,1,0,0,0,0,0,0,1,10,6,64,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,62,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,111,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,79,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,68,1,0,0,1
4,0,1,0,0,0,0,0,1,0,10,9,124,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,151,1,0,1,0
0,1,0,0,0,0,0,0,1,0,10,10,234,1,0,0,1
1,0,1,0,0,0,0,0,0,1,10,10,89,1,0,0,1
2,0,1,0,0,0,0,0,1,0,10,10,239,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,99,1,0,0,1
3,0,1,0,0,0,0,1,0,0,7,10,71,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,122,1,0,0,1
1,0,1,0,0,1,0,0,0,0,10,10,128,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,73,1,0,1,0
0,1,0,0,0,0,0,1,0,0,10,10,68,1,0,1,0
0,0,0,1,1,0,0,0,0,0,10,10,94,1,0,0,1
0,1,0,0,0,1,0,0,0,0,10,10,94,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,84,1,0,1,0
-1,0,1,0,0,0,1,0,0,0,9,10,102,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,144,1,0,0,1
0,0,0,1,0,0,0,0,0,1,10,10,106,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,95,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,136,1,0,0,1
0,1,0,0,0,1,0,0,0,0,10,10,97,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,161,1,0,0,1
1,0,1,0,0,0,1,0,0,0,9,10,92,1,0,1,0
0,0,0,1,1,0,0,0,0,0,10,10,176,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,119,1,0,0,1
3,0,0,1,0,1,0,0,0,0,10,10,79,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,97,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,93,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,141,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,57,1,0,1,0
0,0,0,1,0,0,1,0,0,0,10,10,121,1,0,1,0
0,1,0,0,0,0,0,0,1,0,10,10,90,1,0,0,1
2,0,1,0,0,0,1,0,0,0,9,10,57,1,0,1,0
10,0,1,0,0,0,0,1,0,0,7,4,63,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,73,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,109,1,0,0,1
5,0,1,0,0,0,0,0,0,1,10,10,101,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,68,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,124,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,129,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,6,66,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,86,1,0,0,1
5,1,0,0,0,0,0,0,1,0,10,10,127,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,68,1,0,1,0
1,0,1,0,0,0,1,0,0,0,9,10,278,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,92,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,292,1,0,0,1
0,1,0,0,0,0,1,0,0,0,10,10,112,1,0,1,0
1,1,0,0,0,0,0,0,1,0,10,10,72,1,0,0,1
0,1,0,0,1,0,0,0,0,0,10,10,112,1,0,0,1
3,0,1,0,0,0,0,0,0,1,10,10,109,1,0,0,1
1,0,1,0,0,0,0,0,1,0,10,10,72,1,0,0,1
1,1,0,0,0,1,0,0,0,0,10,10,54,1,0,1,0
0,1,0,0,0,1,0,0,0,0,10,10,125,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,163,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,101,1,0,1,0
0,1,0,0,0,0,0,1,0,0,10,10,45,1,0,1,0
65,0,1,0,0,0,0,0,0,1,10,10,133,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,72,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,93,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,111,1,0,0,1
4,0,1,0,1,0,0,0,0,0,10,7,204,0,1,0,1
0,0,1,0,0,0,0,0,0,1,10,10,266,1,0,0,1
2,0,1,0,0,0,0,1,0,0,7,10,120,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,95,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,53,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,72,1,0,0,1
0,0,1,0,0,0,0,0,1,0,10,10,133,1,0,0,1
3,0,1,0,1,0,0,0,0,0,10,10,303,1,0,0,1
0,0,0,1,0,0,0,0,1,0,10,10,210,1,0,0,1
0,1,0,0,1,0,0,0,0,0,10,10,153,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,98,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,163,1,0,1,0
0,0,0,1,1,0,0,0,0,0,10,10,84,1,0,0,1
0,0,0,1,0,0,1,0,0,0,10,10,335,1,0,1,0
2,0,1,0,0,0,1,0,0,0,9,10,69,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,245,1,0,0,1
0,0,1,0,0,0,1,0,0,0,9,10,152,1,0,1,0
3,0,1,0,1,0,0,0,0,0,10,10,67,1,0,0,1
